Symbol,Name,"% Holding",Shares
F,"F MOTOR",0.16%,39674136
PGR,"Progressive Corp",0.16%,5941845
ETN,"EATON CORP",0.16%,4041690
NOC,"Northrop Grumman Corp",0.16%,1574134
AON,"Aon Plc Class A",0.16%,2294250
EMR,"EMERSON ELECTR",0.16%,6091696
GPN,"Global Payments Inc",0.16%,2997390
HCA,"Hca Healthcare Inc",0.16%,2691378
HUM,"Humana Inc",0.16%,1308243
WM,"Waste Management Inc",0.15%,3952384
VRTX,"Vertex Pharmaceuticals Inc",0.15%,2639182
ECL,"Ecolab Inc",0.15%,2524820
MCO,"Moodys Corp",0.15%,1633590
REGN,"Regeneron Pharmaceuticals Inc",0.15%,1068870
DOW,"Dow Inc",0.14%,7564006
DG,"Dollar General Corp",0.14%,2487355
MET,"MetLife Inc",0.14%,7631958
KLAC,"KLA Corporation",0.14%,1564168
JCI,"JOHNSON CONTROLS",0.13%,7312434
IDXX,"IDEXX Laboratories Inc",0.13%,867315
ROP,"Roper Industries Inc",0.13%,1065418
EOG,"EOG RESOURCES",0.13%,5924711
TWTR,"Twitter Inc",0.13%,8103092
DD,"Dupont De Nemours Inc",0.13%,5465862
AIG,"American International Group Inc.",0.13%,8779668
IQV,"IQVIA HOLDINGS",0.13%,1941947
LHX,"L3harris Technologies",0.13%,2086982
KMB,"Kimberly-Clark Corporation",0.13%,3431584
TEL,"TE Connectivity Ltd",0.13%,3359259
ROST,"Ross Stores Inc",0.13%,3614450
TT,"Trane Technologies PLC",0.12%,2420650
GD,"GENERAL DYNAMI",0.12%,2354128
SLB,"Schlumberger Ltd.",0.12%,14193629
EXC,"EXELON CORP",0.12%,9912354
TROW,"T Rowe Price Group Inc",0.12%,2311639
ALGN,"ALIGN TECHNOLOGY INC",0.12%,731086
CNC,"Centene Corp",0.12%,5904545
PPG,"PPG IND",0.12%,2405557
PSA,"Public Storage",0.12%,1542556
AEP,"American Electric Power Company Inc.",0.12%,5041682
PRU,"PRUDENTIAL FIN",0.12%,4030476
DLR,"DIGITAL REALTY",0.12%,2851182
SPG,"Simon Property Group Inc",0.12%,3335053
BK,"BANK NY MELLON",0.12%,8190859
MCHP,"MICROCHIP TECH",0.12%,2733667
A,"Agilent Technologies Inc",0.12%,3093451
BAX,"BAXTER INTERNATIONAL INC",0.12%,5127976
ALL,"Allstate Corp",0.12%,3074890
EA,"ELECTRONIC ART",0.12%,2920098
SYY,"Sysco Corp",0.12%,5181887
SRE,"Sempra Energy",0.12%,3072036
APTV,"Aptiv PLC",0.11%,2741416
BIIB,"BIOGEN INC",0.11%,1546563
STZ,"Constellation Brands Inc. Class A",0.11%,1726226
APH,"Amphenol Corporation Class A",0.11%,6082979
HPQ,"Hp Inc",0.11%,12716197
TRV,"THE TRAVELERS",0.11%,2560640
MPC,"Marathon Petroleum Corp",0.11%,6611966
PH,"Parker Hannifin Corp",0.11%,1310489
INFO,"IHS Markit Ltd",0.11%,3784785
ALXN,"Alexion Pharmaceuticals",0.11%,2231749
MAR,"Marriott International Inc",0.11%,2700793
SNPS,"SYNOPSYS INC",0.11%,1546940
EBAY,"EBAY INC",0.11%,6562794
CMG,"Chipotle Mexican Grill Inc",0.11%,285535
CMI,"Cummins Inc.",0.11%,1502636
MSCI,"MSCI Inc",0.11%,838327
GIS,"GENERAL MILLS",0.11%,6207497
WBA,"Walgreens Boots Alliance Inc",0.11%,7280871
CTSH,"Cognizant Technology Solutions Corporation Class A",0.11%,5386974
ADM,"Archer-Daniels-Midland Company",0.10%,5669400
XEL,"Xcel Energy Inc",0.10%,5368113
ORLY,"OReilly Automotive Inc",0.10%,712738
CARR,CARREFOUR,0.10%,8295815
PSX,"Phillips 66",0.10%,4434565
LUV,"Southwest Airlines Co",0.10%,5997016
AFL,"Aflac Inc",0.10%,6501397
DFS,"DISCOVER FINAN",0.10%,3113803
YUM,"Yum! Brands Inc",0.10%,3046279
KMI,"Kinder Morgan Inc Class P",0.10%,19765550
IFF,"International Flavors & Fragrances Inc",0.10%,2525141
TDG,"TransDigm Group Inc",0.10%,555216
CDNS,"CADENCE DESIGN SYS INC COMMON STOCK USD.01",0.10%,2832262
HLT,"Hilton Worldwide Holding",0.10%,2818416
ZBH,"Zimmer Biomet Holdings Inc",0.10%,2110246
DXCM,DEXCOM,0.10%,976382
MNST,"Monster Beverage Corp",0.10%,3753447
SWK,"Stanley Black & Decker Inc",0.10%,1633112
MSI,"MOTOROLA SOL",0.10%,1716046
WLTW,"Willis Towers Watson plc",0.09%,1309310
CTVA,"Corteva Inc",0.09%,7554045
FRC,"FIRST REP BANK",0.09%,1776498
GLW,"Corning Inc",0.09%,7798711
VLO,"VALERO ENERGY",0.09%,4147928
SBAC,"SBA Communications Corp",0.09%,1109876
PAYX,"Paychex Inc",0.09%,3258495
OTIS,"Otis Worldwide Corp",0.09%,4138583
WMB,"Williams Companies Inc",0.09%,12322878
PCAR,"PACCAR Inc",0.09%,3522216
DHI,"D.R. HORTON IN",0.09%,3360159
PEG,"PUBL SVC ENTER",0.09%,5127947
AZO,"AutoZone Inc.",0.09%,225187
CTAS,"Cintas Corp",0.09%,895666
AME,"AMETEK Inc.",0.09%,2340760
WELL,"Welltower Inc",0.09%,4237463
PXD,"Pioneer Natural Resources Co",0.09%,2065612
MCK,"McKesson Corp",0.09%,1614201
DAL,"DELTA AIR LIN",0.09%,6478951
STT,"State Street Corp",0.09%,3571482
ROK,"ROCKWELL AUTOM",0.09%,1179218
AMP,"Ameriprise Financial Inc.",0.09%,1185325
SIVB,SIVB,0.09%,527305
MTD,"Mettler-Toledo International Inc",0.09%,237627
FAST,FASTENAL,0.09%,5830981
XLNX,"Xilinx Inc",0.09%,2495128
NUE,NUCOR,0.08%,3025571
FITB,"FIFTH THIRD BANC",0.08%,7219374
RMD,"ResMed Inc",0.08%,1476949
WEC,"WEC ENERGY GRO",0.08%,3202415
CBRE,"CBRE Group Inc",0.08%,3407325
